index,id,x,y,lon,lat,s2_id,geometry
101982,101982,528704.1425925883,182068.78193707118,-0.14623432253025367,51.52288046114297,5221390329375415267,"[528704.1425925883, 182068.78193707118]"
101986,101986,528835.203274008,182006.27331298392,-0.14436910654497448,51.5222888520371,5221390328605541517,"[528835.203274008, 182006.27331298392]"
101990,101990,528610.5713256176,181809.83394514362,-0.14767679248732885,51.52057460699268,5221390304444353919,"[528610.5713256176, 181809.83394514362]"
101991,101991,528573.7225767415,181929.18977432407,-0.14816407736872683,51.52165562980357,5221390303990102293,"[528573.7225767415, 181929.18977432407]"
101992,101992,528469.9604166781,181897.73358912457,-0.14967030560603384,51.521396521062385,5221390304897701221,"[528469.9604166781, 181897.73358912457]"
101993,101993,528505.6218637078,181778.56962587987,-0.14920002089836698,51.52031749855321,5221390305032150717,"[528505.6218637078, 181778.56962587987]"
101995,101995,528328.9448847623,181736.08154371416,-0.15176056692547996,51.51997578668286,5221390307702671963,"[528328.9448847623, 181736.08154371416]"
101997,101997,528548.7872448508,181643.57209612947,-0.14862743766474837,51.51909447286813,5221390314765266713,"[528548.7872448508, 181643.57209612947]"
101998,101998,528652.8306586709,181675.0813145333,-0.1471172094481698,51.519353981009075,5221390315669000269,"[528652.8306586709, 181675.0813145333]"
101999,101999,528807.3746873133,181722.01579690044,-0.14487386747332584,51.51974059340105,5221390316427025499,"[528807.3746873133, 181722.01579690044]"
102000,102000,528957.2117533057,181766.94394714758,-0.14269902684626484,51.520110205608425,5221390323861525897,"[528957.2117533057, 181766.94394714758]"
102003,102003,528344.7036729204,181583.810407567,-0.15158899257367864,51.51860375772169,5221390309038805015,"[528344.7036729204, 181583.810407567]"
102005,102005,528996.9705690385,181633.44338299363,-0.14217514427162362,51.51890137862395,5221390324060416895,"[528996.9705690385, 181633.44338299363]"
102010,102010,528311.4082494398,181383.39807715826,-0.15214153961133783,51.51681021829747,5221390309824603595,"[528311.4082494398, 181383.39807715826]"
102018,102018,528263.2915772933,181498.00926640077,-0.15279292784285098,51.51785113997245,5221390287912143871,"[528263.2915772933, 181498.00926640077]"
102020,102020,528084.9193790277,181447.4088417217,-0.1553806788619405,51.517436827429016,5221390285766324749,"[528084.9193790277, 181447.4088417217]"
102022,102022,528146.3605161806,181252.46911162353,-0.15456650548982265,51.515670989138336,5221390286718605313,"[528146.3605161806, 181252.46911162353]"
102025,102025,528014.7737126334,181669.75936269056,-0.15631035156352907,51.5194509689872,5221390282267535685,"[528014.7737126334, 181669.75936269056]"
102030,102030,527938.298280321,181404.27947333007,-0.15750832139817908,51.51708241669622,5221390283809635779,"[527938.298280321, 181404.27947333007]"
102031,102031,527842.024999733,181717.26389065327,-0.15878158169065124,51.51991697536381,5221390281443085251,"[527842.024999733, 181717.26389065327]"
102032,102032,527835.918371676,181373.89538629813,-0.1589940514830971,51.51683250891572,5221390278830062831,"[527835.918371676, 181373.89538629813]"
102035,102035,527679.8398032002,181195.83827807195,-0.16130672510979704,51.51526757026655,5221390277858077625,"[527679.8398032002, 181195.83827807195]"
102036,102036,527720.1672664348,181751.6765165081,-0.16052450264766038,51.520253780034494,5221390270219906735,"[527720.1672664348, 181751.6765165081]"
102041,102041,527909.0595181207,181147.6455623331,-0.15802258241233808,51.51478266410728,5221366535974895891,"[527909.0595181207, 181147.6455623331]"
102049,102049,527803.1771632878,180976.92407854396,-0.15960954286997578,51.5132723277413,5221366541408942075,"[527803.1771632878, 180976.92407854396]"
102053,102053,527904.723422696,180946.96432556037,-0.1581578258231386,51.51298012327518,5221366536274029693,"[527904.723422696, 180946.96432556037]"
102054,102054,527866.0062584978,180990.3885446036,-0.1586997255612551,51.51337913147874,5221366541534623855,"[527866.0062584978, 180990.3885446036]"
102056,102056,527892.5847606886,181142.65755061607,-0.15826168726525142,51.51474156283307,5221366536001850737,"[527892.5847606886, 181142.65755061607]"
10365726,10365726,529452.9767625622,182401.60620030813,-0.13532439770021848,51.525700555116316,5221390668024285641,"[529452.9767625622, 182401.60620030813]"
10365728,10365728,529311.2012113511,182528.42174424592,-0.13732040734759618,51.526872677852175,5221390669210861405,"[529311.2012113511, 182528.42174424592]"
10365729,10365729,529404.1823096096,182590.6004738182,-0.13595797749601318,51.527410194850354,5221390669883742057,"[529404.1823096096, 182590.6004738182]"
10365730,10365730,529371.1584697525,182640.69031387963,-0.13641537628696987,51.52786790461256,5221390669632982891,"[529371.1584697525, 182640.69031387963]"
10365731,10365731,529276.286379741,182575.38169182325,-0.13780620698703683,51.52730268683641,5221390669310291001,"[529276.286379741, 182575.38169182325]"
10365733,10365733,529431.0855361494,182537.4839431194,-0.13558988041595682,51.5269266841746,5221390669945124287,"[529431.0855361494, 182537.4839431194]"
10365737,10365737,529431.5823404053,182492.6523499071,-0.13559918756731476,51.526523674350905,5221390668213680525,"[529431.5823404053, 182492.6523499071]"
10365738,10365738,529670.5479810596,182539.84121287905,-0.1321390344283915,51.526892993211504,5221390663887510395,"[529670.5479810596, 182539.84121287905]"
103928,103928,528729.7661048026,182428.65029393387,-0.14573374846160275,51.52610873539192,5221390341195781657,"[528729.7661048026, 182428.65029393387]"
104302,104302,529816.4099838859,181817.1771137981,-0.13030373647633148,51.52036503592745,5221390702524030021,"[529816.4099838859, 181817.1771137981]"
104305,104305,530456.5873726613,182232.27949387848,-0.12092833848446743,51.52394814791921,5221390741226420507,"[530456.5873726613, 182232.27949387848]"
104309,104309,530877.0427565749,182192.28499425238,-0.11488606220647395,51.52349155193577,5221390815499516607,"[530877.0427565749, 182192.28499425238]"
