index,id,from,to,freespeed,capacity,permlanes,oneway,modes,s2_from,s2_to,attributes,length,geometry,u,v
1517,1517,108200,295927764,4.166666666666667,600.0,1.0,1,{'car'},5221390299721953165,5221390299830441825,"{'osm:way:access': 'permissive', 'osm:way:highway': 'unclassified', 'osm:way:id': 4257227.0, 'osm:way:name': 'Macfarren Place', 'osm:way:oneway': 'yes'}",23.652456746760194,_ce`flaBsa|dy|`@ciml@py~gC,108200,295927764
1515,1515,108202,108200,4.166666666666667,600.0,1.0,1,{'car'},5221390301003466499,5221390299721953165,"{'osm:way:access': 'permissive', 'osm:way:highway': 'unclassified', 'osm:way:id': 4257226.0, 'osm:way:name': 'York Terrace East', 'osm:way:oneway': 'yes'}",143.05499558508572,e|mx_maBcqrsa}`@dxgwXnnumG,108202,108200
1519,1519,108202,197699,4.166666666666667,600.0,1.0,1,{'car'},5221390301003466499,5221390300933803633,"{'osm:way:access': 'permissive', 'osm:way:highway': 'unclassified', 'osm:way:id': 4257224.0, 'osm:way:name': 'Brunswick Place'}",43.70155461039499,e|mx_maBcqrsa}`@rkrnAymq}F,108202,197699
2902,2902,108203,99937,22.22222222222222,6000.0,3.0,1,{'car'},5221390299909887313,5221390299484518181,"{'osm:relation:route': {'bus', 'bicycle', 'road'}, 'osm:way:highway': 'trunk', 'osm:way:id': 18769879.0, 'osm:way:lanes': '3', 'osm:way:name': 'Marylebone Road', 'osm:way:oneway': 'yes'}",61.51922818942224,{_}rhlaB{uneh|`@j~zsJfcfi@,108203,99937
844,844,108203,2419800726,6.944444444444445,1200.0,2.0,1,{'car'},5221390299909887313,5221390299896515593,"{'osm:relation:route': 'bicycle', 'osm:way:highway': 'tertiary', 'osm:way:id': 233623732.0, 'osm:way:lanes': '2', 'osm:way:name': 'Marylebone High Street'}",12.43813490641887,{_}rhlaB{uneh|`@asdD|lvjA,108203,2419800726
2050,2050,108205,2419805838,6.944444444444445,1200.0,2.0,1,{'car'},5221390302479684839,5221390302469459409,"{'osm:way:highway': 'tertiary', 'osm:way:id': 207530502.0, 'osm:way:lanes': '2', 'osm:way:name': 'Harley Street', 'osm:way:oneway': 'yes'}",5.247296224438366,}rwpemaB}pybm|`@orqQpvaY,108205,2419805838
2922,2922,108205,2419805306,22.22222222222222,6000.0,3.0,1,"{'bus', 'car', 'pt'}",5221390302479684839,5221390300003370097,"{'osm:relation:route': {'bus', 'road'}, 'osm:way:highway': 'trunk', 'osm:way:id': 379356930.0, 'osm:way:lanes': '3', 'osm:way:name': 'Marylebone Road', 'osm:way:oneway': 'yes'}",95.47980978266223,}rwpemaB}pybm|`@`ho|PpsgfB,108205,2419805306
191,191,108208,1667118171,8.333333333333334,2000.0,2.0,1,{'car'},5221390290106804933,5221390290310169993,"{'osm:relation:route': 'bicycle', 'osm:way:highway': 'secondary', 'osm:way:id': 148130836.0, 'osm:way:lanes': '2', 'osm:way:name': 'Paddington Street'}",29.827884735441007,_}lhokaByneduz`@~hgtDjqxO,108208,1667118171
3056,3056,108208,6342450111,8.333333333333334,2000.0,2.0,1,{'car'},5221390290106804933,5221390290102441401,"{'osm:relation:route': 'bicycle', 'osm:way:highway': 'secondary', 'osm:way:id': 147991512.0, 'osm:way:name': 'Nottingham Place', 'osm:way:oneway': 'yes'}",12.614905903973412,_}lhokaByneduz`@qzau@_alu@,108208,6342450111
1090,1090,108209,1610964470,8.333333333333334,2000.0,2.0,1,{'car'},5221390292162951299,5221390290279802761,"{'osm:relation:route': 'bicycle', 'osm:way:highway': 'secondary', 'osm:way:id': 207104730.0, 'osm:way:lanes': '2', 'osm:way:name': 'Paddington Street'}",120.65826206328184,}}wgnjaBwfmvoz`@_cdnUotnmC,108209,1610964470
1091,1091,108209,1612319349,8.333333333333334,2000.0,2.0,1,{'car'},5221390292162951299,5221390292218847517,"{'osm:relation:route': 'bicycle', 'osm:way:highway': 'secondary', 'osm:way:id': 207104730.0, 'osm:way:lanes': '2', 'osm:way:name': 'Paddington Street'}",30.431952336907145,}}wgnjaBwfmvoz`@z}iqDzx{r@,108209,1612319349
1168,1168,108209,1612472614,4.166666666666667,600.0,1.0,1,{'car'},5221390292162951299,5221390294136016161,"{'osm:way:highway': 'unclassified', 'osm:way:id': 587554507.0, 'osm:way:name': 'Chiltern Street'}",136.57347001979826,}}wgnjaBwfmvoz`@teihGowduW,108209,1612472614
172,172,108209,108216,4.166666666666667,600.0,1.0,1,{'car'},5221390292162951299,5221390289271249957,"{'osm:way:highway': 'unclassified', 'osm:way:id': 24417815.0, 'osm:way:name': 'Chiltern Street'}",99.08513801025326,}}wgnjaBwfmvoz`@qeyhEldbyP,108209,108216
1164,1164,108210,25470798,4.166666666666667,600.0,1.0,1,{'car'},5221390290566225805,5221390297887013315,"{'osm:way:highway': 'unclassified', 'osm:way:id': 587554508.0, 'osm:way:name': 'Nottingham Place'}",170.41309113389428,gbi|okaBsopgb{`@~wcoBmw`i_@,108210,25470798
3061,3061,108210,1611022252,4.166666666666667,600.0,1.0,1,{'car'},5221390290566225805,5221390290441676961,"{'osm:way:highway': 'unclassified', 'osm:way:id': 147991511.0, 'osm:way:name': 'Nottingham Street'}",37.4151924842218,gbi|okaBsopgb{`@liebFrt`V,108210,1611022252
798,798,108210,1667118184,8.333333333333334,2000.0,2.0,1,{'car'},5221390290566225805,5221390306706037853,"{'osm:relation:route': 'bicycle', 'osm:way:highway': 'secondary', 'osm:way:id': 27005810.0, 'osm:way:lanes': '2', 'osm:way:name': 'Nottingham Street', 'osm:way:oneway': 'yes'}",37.75432080202518,gbi|okaBsopgb{`@{}zdFsz`O,108210,1667118184
