,route_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0,12430,1,1,1,1,1,1,1,19700101,19700101
1,14073,1,1,1,1,1,1,1,19700101,19700101
2,14134,1,1,1,1,1,1,1,19700101,19700101
3,15234,1,1,1,1,1,1,1,19700101,19700101
4,15660,1,1,1,1,1,1,1,19700101,19700101
5,17732,1,1,1,1,1,1,1,19700101,19700101
6,18853,1,1,1,1,1,1,1,19700101,19700101
7,18915,1,1,1,1,1,1,1,19700101,19700101
8,20274,1,1,1,1,1,1,1,19700101,19700101
