index,from,modes,oneway,s2_to,attributes,capacity,freespeed,to,length,geometry,permlanes,id,s2_from
1,25508485,{'car'},1,5221390302696205321,"{'osm:way:access': {'name': 'osm:way:access', 'class': 'java.lang.String', 'text': 'permissive'}, 'osm:way:highway': {'name': 'osm:way:highway', 'class': 'java.lang.String', 'text': 'unclassified'}, 'osm:way:id': {'name': 'osm:way:id', 'class': 'java.lang.Long', 'text': '26997928'}, 'osm:way:name': {'name': 'osm:way:name', 'class': 'java.lang.String', 'text': 'Brunswick Place'}}",600.0,4.166666666666667,21667818,52.765151087870265,kevj`maB_`la`}`@{ooxA`k~rH,1.0,1,5221390301001263407
10,200048,{'car'},1,5221390299830573099,"{'osm:way:access': {'name': 'osm:way:access', 'class': 'java.lang.String', 'text': 'permissive'}, 'osm:way:highway': {'name': 'osm:way:highway', 'class': 'java.lang.String', 'text': 'unclassified'}, 'osm:way:id': {'name': 'osm:way:id', 'class': 'java.lang.Long', 'text': '26997927'}, 'osm:way:name': {'name': 'osm:way:name', 'class': 'java.lang.String', 'text': 'Macfarren Place'}}",600.0,4.166666666666667,295927764,53.77508435879174,{nuphlaBkmquj|`@v`ab@uxieI,1.0,10,5221390299873156021
